Site,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
North Shore,4334,4216,4055,4035,3396,3563,3675,3562,3446,3480,3635,3632,3343,3397,3073
Richmond,2375,2377,2251,2126,1966,1896,1856,1930,1849,1834,1968,1853,1724,1854,1693
Vancouver,9964,9500,9123,8590,7825,7571,7629,7551,7346,7429,7542,7590,7412,7219,6904
