OBJECTID,HR_UID,Province,CaseCount,Deaths,Recovered,Tests,Last_Updated,GlobalID
18222,592,BC,548,2,527,72894,2020/10/05 23:18:00+00,{2A7232AE-A918-4DB6-9020-D301C9FEB4DD}
18223,591,BC,4980,113,3998,222233,2020/10/05 23:18:00+00,{C2ED48B9-221F-4E9F-874F-A43D6D06FFAB}
18224,595,BC,3580,118,3005,197980,2020/10/05 23:19:00+00,{40FA4072-42C1-471B-9998-6CBBC40E8D96}
18225,593,BC,220,6,204,73479,2020/10/05 23:19:00+00,{A9D1394E-6B8E-45D5-8BD6-82D66A7991E4}
18226,594,BC,322,3,300,22998,2020/10/05 23:18:00+00,{946A498F-D7B6-46E4-B0D5-51F4360A9828}
18227,4750,SK,102,1,62,13961,2020/10/05 20:16:59+00,{2FEE7F93-5406-42BF-A075-6E4D2E97F0DD}
18228,4751,SK,176,1,173,4996,2020/10/05 20:16:59+00,{81945265-D363-49D1-A27E-412B82946969}
18229,4752,SK,0,0,0,343,2020/10/05 20:18:00+00,{DFE94DE3-7002-4B24-A3E9-32441D58E15E}
18230,4753,SK,9,0,9,3190,2020/10/05 20:18:00+00,{4CC33607-05B9-429B-9AA0-DDA676118222}
18231,4754,SK,350,7,342,6911,2020/10/05 20:18:00+00,{34F2D24E-7731-4936-AE98-0F445260B49C}
18232,4755,SK,80,2,71,14205,2020/10/05 20:19:00+00,{E64D1D07-3D59-4D10-9EA3-C1F1F45E56E0}
18233,4756,SK,69,0,67,6306,2020/10/05 20:19:00+00,{BFC7ED6B-3A78-45F6-A07D-D102308AC202}
18234,4757,SK,132,4,128,11538,2020/10/05 20:19:59+00,{8B9B8F36-2F9C-4337-9AB2-C065B6CB9BA5}
18235,4758,SK,192,2,164,40763,2020/10/05 20:19:59+00,{787A5C7D-91A7-4D50-8C5A-C7B001567B0B}
18236,4759,SK,404,2,352,58528,2020/10/05 20:19:59+00,{F266937D-C243-4978-ABC0-441CF651C3FE}
18237,4760,SK,205,4,193,10766,2020/10/05 20:21:00+00,{10A31EF9-A29E-424F-B178-99B4DDFC1E4E}
18238,4761,SK,24,0,19,11121,2020/10/05 20:21:00+00,{8BC432D0-CBC0-4C08-80EA-D07BAB2B82B5}
18239,4762,SK,225,1,221,6314,2020/10/05 20:22:00+00,{2AA67DDB-3EFC-4833-9BE8-9F221B2A3EFA}
18240,3537,ON,1228,47,1060,106017,2020/10/06 20:21:00+00,{5298A84F-64D5-4925-9363-A9B772457A16}
18241,3538,ON,60,5,47,40054,2020/10/06 20:22:00+00,{4B2463FC-2095-4DDA-A2B0-8067F7B640D9}
18242,3539,ON,134,5,124,32892,2020/10/06 20:23:00+00,{195AF9B9-B1AD-484A-A633-0E601EDB916F}
18243,3540,ON,371,3,365,28777,2020/10/06 20:31:00+00,{9F119E19-1BB5-45E9-A0A4-AC853A60E3CA}
18244,3541,ON,156,0,132,68101,2020/10/06 20:32:59+00,{A99E43E4-2296-4106-BB62-3D9D742FB7B7}
18245,3542,ON,347,25,321,27811,2020/10/06 20:35:00+00,{324977F0-067F-4C7A-94C5-D154B7C75076}
18246,3543,ON,400,52,340,7981,2020/10/06 20:35:59+00,{A19FE38B-74BD-4321-9400-805A7BD199E1}
18247,3544,ON,912,57,798,110908,2020/10/06 20:36:59+00,{03031746-D896-438C-A4F1-29B8F25C4AFF}
18248,6001,YT,15,,15,3522,2020/10/06 22:41:59+00,{AC9B246C-FE83-4495-A3E8-FC8906027B76}
18249,6101,NT,5,0,5,5442,2020/10/06 22:41:59+00,{B6EE0F75-A08C-4016-928B-444FC2587D59}
18250,6201,NU,0,,,2981,2020/10/06 22:41:00+00,{5801317A-7CCE-411F-B075-269E1808EEC4}
18251,4831,AB,1882,26,1795,71706,2020/10/06 22:53:00+00,{DE7F3E43-F0DE-4752-A564-AC165AFC5176}
18252,4832,AB,9223,130,8448,430747,2020/10/06 22:54:00+00,{8641C213-2278-43AD-AB52-C570D68EA1B4}
18253,4833,AB,689,7,656,92386,2020/10/06 22:54:59+00,{A4C01D55-05E7-45DC-AB68-AE518BDFD085}
18254,4834,AB,5886,83,4740,359570,2020/10/06 22:54:59+00,{FDD1B1B5-4A41-4842-BDF8-6E519D49B5ED}
18255,4835,AB,1489,35,1355,105476,2020/10/06 22:53:00+00,{0B8BD1DF-84A9-40E3-8DAB-BE2F77EAA204}
18256,1307,NB,3,0,3,3038,2020/10/06 20:18:00+00,{EE8A2633-69BE-40A9-BC72-89B38D76B940}
18257,2401,QC,369,4,,,2020/10/06 20:39:00+00,{E1BA73C8-1728-40E8-A50F-FA878EFDBA53}
18258,2402,QC,487,26,,,2020/10/06 20:39:00+00,{FE2800D7-2C80-4028-B3BE-D940BCBFB64F}
18259,2403,QC,5260,230,,,2020/10/06 20:39:59+00,{FCDB6832-E365-451C-B47C-2874C44FA4D4}
18260,2404,QC,2690,211,,,2020/10/06 20:39:59+00,{C252D518-B715-4FD0-86DA-63B7BB52DED5}
18261,2405,QC,1902,33,,,2020/10/06 20:39:59+00,{F2513ABF-0225-454F-BAB7-6DA6139C340E}
18262,2406,QC,35938,3487,,,2020/10/06 20:41:00+00,{710E2EC2-EDE8-4FD8-8D9A-4545C5AD49E3}
18263,2407,QC,1580,34,,,2020/10/06 20:41:00+00,{9A000312-5E18-4C28-86DA-F38B9DFE4F55}
18264,2408,QC,213,4,,,2020/10/06 20:42:00+00,{8CFB23C7-B442-4292-846A-03876775959A}
18265,2409,QC,157,1,,,2020/10/06 20:42:00+00,{806DD7E2-F577-4B5B-BDEE-481E296E259F}
18266,2410,QC,8,0,,,2020/10/06 22:34:00+00,{B46AE1B6-CA1D-4FC3-AB2A-43E1E6B7B312}
18267,3546,ON,1147,65,942,,2020/10/06 20:36:59+00,{171C960B-B99F-4755-89DC-DB9D73740443}
18268,3547,ON,40,1,39,41268,2020/10/06 20:38:00+00,{42FDFA56-B581-4CEA-A8FA-8D0004D4564F}
18269,3549,ON,65,,51,30065,2020/10/06 22:40:00+00,{81EE0961-6E11-4ADD-B04F-A526A4CEBB5D}
18270,3551,ON,4853,295,3753,,2020/10/06 20:50:00+00,{F27A2500-6074-41A4-9B7B-596E51A01CEC}
18271,3553,ON,10309,330,9062,,2020/10/06 20:51:00+00,{86408A4B-0B61-4F4F-8EA7-F559EFB3E160}
18272,3555,ON,130,2,120,31000,2020/10/06 20:51:59+00,{B9A3A25C-180E-4AD3-88AD-40A7E11D30B7}
18273,3556,ON,85,9,73,24990,2020/10/06 22:38:00+00,{A2E98D67-BA79-4B4F-A74F-6996CF3F16F4}
18274,3557,ON,58,1,50,29459,2020/10/06 20:51:59+00,{B58667FF-2BDF-4376-B435-79C5E1F00249}
18275,3558,ON,305,12,212,65413,2020/10/06 20:57:00+00,{97CF2062-ADA1-41B2-ABE0-649CE0E0E349}
18276,3560,ON,956,39,835,,2020/10/06 20:58:00+00,{F0A7E0AD-722D-4D07-8EA7-4D0258DA9E46}
18277,3561,ON,108,2,105,43680,2020/10/06 20:58:59+00,{5EC4911F-5850-4909-9335-0CA808D33AAF}
18278,3562,ON,107,1,106,52493,2020/10/06 22:38:00+00,{3B67BAB9-7949-4B2A-927E-16441394D22C}
18279,3563,ON,17,0,17,11323,2020/10/06 21:01:00+00,{47386A61-E6DE-43EC-AAA2-FC4E1D8DAA6E}
18280,3565,ON,1815,120,1566,140941,2020/10/06 21:01:59+00,{32223A07-D080-4F7F-8131-98F7C6F5CD20}
18281,3566,ON,686,37,601,74956,2020/10/06 21:03:00+00,{B2A6E29A-9ED1-4138-A779-B7248B030E0A}
18282,3568,ON,2680,76,2567,16889,2020/10/06 21:03:00+00,{C448935F-E62F-4D13-9B18-381BE3E64BAE}
18283,1203,NS,54,,,,2020/10/06 20:10:00+00,{1734D690-11EA-44B1-9125-98E4A5A36975}
18284,1204,NS,911,,,,2020/10/06 20:10:59+00,{05E2C02E-C19F-45BD-A793-AD992D3158A4}
18285,1301,NB,50,0,47,25243,2020/10/06 20:13:59+00,{A004F091-910D-464C-8748-16BEB617C6D0}
18286,1302,NB,30,0,28,14275,2020/10/06 20:15:00+00,{6A2EF5E4-8E5D-428B-8D45-3350077FCD7A}
18287,1303,NB,58,0,58,16598,2020/10/06 20:15:00+00,{F3D83A0B-6140-422B-B705-E8E7A8573577}
18288,1304,NB,8,0,8,4336,2020/10/06 20:16:00+00,{9EBAD985-755C-401A-BB6E-EDF408C2411D}
18289,1305,NB,53,2,51,10704,2020/10/06 20:16:59+00,{DE0CFC92-BDB8-445E-9921-406E9FF3035D}
18290,1306,NB,3,0,3,6615,2020/10/06 20:18:00+00,{1005DEEF-3093-47D5-85C7-67A4804539D8}
18291,4604,MB,18,0,6,,2020/10/06 22:43:00+00,{155372C9-78A6-4EDE-A1C5-67816D68205E}
18292,4605,MB,352,11,318,,2020/10/06 22:43:00+00,{BD99ADAE-087E-408E-B6AA-87A6EA24D471}
18293,3570,ON,4593,257,3880,236776,2020/10/06 21:04:59+00,{DFA67FC7-5CD5-4FFE-86D9-A0F753DF7057}
